Timestamp,ID,Treatment,Trial,Explosion Point,Initial Pump,Top Off
2025-06-26 10:36:16,Marco,Con1,1,128,91,0
2025-06-26 10:36:25,Marco,Con1,2,24,66,0
2025-06-26 10:36:44,Marco,Con1,3,119,66,0
2025-06-26 10:36:57,Marco,Con1,4,19,84,0
2025-06-26 10:37:09,Marco,Con1,5,66,77,0
2025-06-26 10:37:27,Marco,Con1,6,72,65,0
2025-06-26 10:37:37,Marco,Con1,7,30,60,0
2025-06-26 10:37:46,Marco,Con1,8,78,1,9
2025-06-26 10:37:50,Marco,Con1,9,1,63,0
2025-06-26 10:38:04,Marco,Con1,10,103,57,3
2025-06-26 10:38:08,Marco,Con1,11,6,64,0
2025-06-26 10:38:19,Marco,Con1,12,65,71,0
2025-06-26 10:38:34,Marco,Con1,13,116,57,0
2025-06-26 10:39:02,Marco,Con1,14,107,68,0
2025-06-26 10:39:16,Marco,Con1,15,35,62,0
2025-06-26 10:39:24,Marco,Con1,16,29,61,0
2025-06-26 10:39:32,Marco,Con1,17,28,37,0
2025-06-26 10:39:48,Marco,Con1,18,122,42,9
2025-06-26 10:40:03,Marco,Con1,19,67,65,0
2025-06-26 10:40:16,Marco,Con1,20,65,65,0
2025-06-26 10:40:29,Marco,Con1,21,59,61,0
2025-06-26 10:40:43,Marco,Con1,22,93,54,0
2025-06-26 10:41:10,Marco,Con1,23,125,58,5
2025-06-26 10:41:30,Marco,Con1,24,64,126,0
2025-06-26 10:41:48,Marco,Con1,25,11,99,0
2025-06-26 10:41:52,Marco,Con1,26,15,112,0
2025-06-26 10:42:08,Marco,Con1,27,95,101,0
2025-06-26 10:42:16,Marco,Con1,28,1,88,0
2025-06-26 10:42:34,Marco,Con1,29,128,83,0
2025-06-26 10:42:52,Marco,Con1,30,49,88,0
