Timestamp,ID,Treatment,Trial,Explosion Point,Initial Pump,Top Off
2025-06-26 10:26:03,Ryan,Con1,1,33,66,0
2025-06-26 10:26:36,Ryan,Con1,2,56,38,2
2025-06-26 10:26:53,Ryan,Con1,3,122,38,2
2025-06-26 10:27:13,Ryan,Con1,4,52,35,3
2025-06-26 10:27:29,Ryan,Con1,5,65,37,3
2025-06-26 10:27:49,Ryan,Con1,6,60,44,1
2025-06-26 10:28:02,Ryan,Con1,7,14,55,0
2025-06-26 10:28:18,Ryan,Con1,8,121,48,0
2025-06-26 10:28:42,Ryan,Con1,9,116,44,5
2025-06-26 10:28:50,Ryan,Con1,10,1,47,0
2025-06-26 10:29:15,Ryan,Con1,11,57,48,2
2025-06-26 10:29:31,Ryan,Con1,12,128,52,0
2025-06-26 10:29:45,Ryan,Con1,13,60,53,0
2025-06-26 10:29:52,Ryan,Con1,14,1,48,0
2025-06-26 10:30:19,Ryan,Con1,15,108,51,0
2025-06-26 10:30:28,Ryan,Con1,16,18,51,0
2025-06-26 10:30:48,Ryan,Con1,17,127,47,3
2025-06-26 10:30:54,Ryan,Con1,18,9,51,0
2025-06-26 10:31:11,Ryan,Con1,19,70,47,4
2025-06-26 10:31:30,Ryan,Con1,20,62,50,3
2025-06-26 10:31:39,Ryan,Con1,21,26,50,0
2025-06-26 10:31:44,Ryan,Con1,22,4,44,0
2025-06-26 10:31:59,Ryan,Con1,23,124,49,2
2025-06-26 10:32:16,Ryan,Con1,24,80,50,3
2025-06-26 10:32:25,Ryan,Con1,25,15,46,0
2025-06-26 10:32:49,Ryan,Con1,26,122,50,2
2025-06-26 10:33:08,Ryan,Con1,27,128,48,2
2025-06-26 10:33:23,Ryan,Con1,28,111,48,2
2025-06-26 10:33:28,Ryan,Con1,29,1,49,0
2025-06-26 10:33:38,Ryan,Con1,30,29,48,0
