Timestamp,ID,Treatment,Trial,Explosion Point,Initial Pump,Top Off
2025-06-26 13:33:27,Vinh,Con1,1,2,89,0
2025-06-26 13:33:52,Vinh,Con1,2,29,53,0
2025-06-26 13:34:11,Vinh,Con1,3,57,27,0
2025-06-26 13:34:32,Vinh,Con1,4,128,22,4
2025-06-26 13:35:14,Vinh,Con1,5,111,50,2
2025-06-26 13:35:46,Vinh,Con1,6,76,36,4
2025-06-26 13:36:07,Vinh,Con1,7,102,61,0
2025-06-26 13:36:17,Vinh,Con1,8,8,78,0
2025-06-26 13:36:45,Vinh,Con1,9,104,61,0
2025-06-26 13:36:59,Vinh,Con1,10,23,77,0
2025-06-26 13:37:09,Vinh,Con1,11,4,65,0
2025-06-26 13:37:23,Vinh,Con1,12,40,70,0
2025-06-26 13:37:48,Vinh,Con1,13,111,55,2
2025-06-26 13:37:58,Vinh,Con1,14,5,65,0
2025-06-26 13:38:16,Vinh,Con1,15,128,65,0
2025-06-26 13:38:28,Vinh,Con1,16,12,79,0
2025-06-26 13:38:38,Vinh,Con1,17,32,74,0
2025-06-26 13:38:52,Vinh,Con1,18,65,68,0
2025-06-26 13:39:09,Vinh,Con1,19,126,64,0
2025-06-26 13:39:28,Vinh,Con1,20,117,59,2
2025-06-26 13:39:45,Vinh,Con1,21,114,64,0
2025-06-26 13:39:59,Vinh,Con1,22,69,70,0
2025-06-26 13:40:08,Vinh,Con1,23,2,71,0
2025-06-26 13:40:26,Vinh,Con1,24,78,73,0
2025-06-26 13:40:34,Vinh,Con1,25,10,75,0
2025-06-26 13:40:41,Vinh,Con1,26,5,65,0
2025-06-26 13:41:08,Vinh,Con1,27,124,63,2
2025-06-26 13:41:28,Vinh,Con1,28,63,67,0
2025-06-26 13:41:43,Vinh,Con1,29,72,77,0
2025-06-26 13:42:02,Vinh,Con1,30,103,75,0
