Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Colin_Con1,Familiarization_Numbers_Asc,Start-1,2551.1445000302047,2551.1579999001697,0
Colin_Con1,Familiarization_Numbers_Asc,1-2,831.458400003612,3469.504899927415,0
Colin_Con1,Familiarization_Numbers_Asc,2-3,619.9500999646261,4201.350899995305,0
Colin_Con1,Familiarization_Numbers_Asc,3-4,723.3472000807524,5037.037499947473,0
Colin_Con1,Familiarization_Numbers_Asc,4-5,566.4145000046119,5683.089799946174,0
Colin_Con1,Familiarization_Numbers_Asc,5-6,597.3921999102458,6371.067599975504,0
Colin_Con1,Familiarization_Numbers_Desc,Start-6,1882.5594999361783,1882.572800037451,0
Colin_Con1,Familiarization_Numbers_Desc,6-5,503.5065000411123,2487.819900037721,0
Colin_Con1,Familiarization_Numbers_Desc,5-4,1616.7042000452057,4197.779400041327,0
Colin_Con1,Familiarization_Numbers_Desc,4-3,593.2714000809938,4887.771500041708,0
Colin_Con1,Familiarization_Numbers_Desc,3-2,627.7440999401733,5605.925600044429,0
Colin_Con1,Familiarization_Numbers_Desc,2-1,625.7289999630302,6335.533700068481,0
Colin_Con1,Familiarization_Mixed_Asc,Start-1,9615.615199902095,9615.627399994992,0
Colin_Con1,Familiarization_Mixed_Asc,1-triangle,1062.3023000080138,10766.268400009722,0
Colin_Con1,Familiarization_Mixed_Asc,triangle-A,736.4708000095561,11627.212999970652,0
Colin_Con1,Familiarization_Mixed_Asc,A-2,1615.1806999696419,13375.746699981391,0
Colin_Con1,Familiarization_Mixed_Asc,2-square,1021.3625999167562,14531.08039998915,0
Colin_Con1,Familiarization_Mixed_Asc,square-B,1951.5258999308571,16596.68800001964,0
Colin_Con1,Familiarization_Mixed_Asc,B-3,2237.7637999597937,18915.622200001962,0
Colin_Con1,Familiarization_Mixed_Asc,3-pentagon,777.9624999966472,19797.771299956366,0
Colin_Con1,Familiarization_Mixed_Asc,pentagon-C,2751.885400037281,22671.711800037883,1
Colin_Con1,Familiarization_Mixed_Asc,C-4,1903.0615999363363,24689.397000009194,0
Colin_Con1,Familiarization_Mixed_Asc,4-hexagon,3480.05779995583,28259.769700001925,0
Colin_Con1,Familiarization_Mixed_Asc,hexagon-D,1059.0889999875799,29435.693399980664,0
Colin_Con1,Familiarization_Mixed_Asc,D-5,1333.8592000072822,30911.15359996911,0
Colin_Con1,Familiarization_Mixed_Asc,5-heptagon,2086.313800071366,33153.47879996989,0
Colin_Con1,Familiarization_Mixed_Asc,heptagon-E,2739.7311000386253,35986.62829992827,0
Colin_Con1,Familiarization_Mixed_Asc,E-6,781.5011999337003,36883.83539998904,0
Colin_Con1,Familiarization_Mixed_Asc,6-octagon,617.1012000413612,37615.341300028376,0
Colin_Con1,Familiarization_Mixed_Asc,octagon-F,626.4881000388414,38320.39559993427,0
Colin_Con1,Experimental_Descending_1,Start-6,946.8251999933273,946.8363999621943,0
Colin_Con1,Experimental_Descending_1,6-octagon,1518.5622000135481,2577.27889996022,0
Colin_Con1,Experimental_Descending_1,octagon-F,6134.109399979934,8824.302900000475,0
Colin_Con1,Experimental_Descending_1,F-5,1264.4377000397071,10179.435599944554,0
Colin_Con1,Experimental_Descending_1,5-heptagon,2524.936100002378,12825.606400030665,0
Colin_Con1,Experimental_Descending_1,heptagon-E,12678.546000039205,25623.551100026816,1
Colin_Con1,Experimental_Descending_1,E-4,4036.026799934916,29773.40579999145,0
Colin_Con1,Experimental_Descending_1,4-hexagon,1567.4197999760509,31456.34449995123,0
Colin_Con1,Experimental_Descending_1,hexagon-D,2031.4868000568822,33609.281299985014,0
Colin_Con1,Experimental_Descending_1,D-3,884.489200077951,34585.22869995795,0
Colin_Con1,Experimental_Descending_1,3-pentagon,4783.680900000036,39464.00319994427,0
Colin_Con1,Experimental_Descending_1,pentagon-C,2140.5931999906898,41717.190800001845,0
Colin_Con1,Experimental_Descending_1,C-2,2848.1096000177786,44680.54780003149,0
Colin_Con1,Experimental_Descending_1,2-square,757.9824000131339,45542.483099969104,0
Colin_Con1,Experimental_Descending_1,square-B,711.1859999131411,46345.75259999838,0
Colin_Con1,Experimental_Descending_1,B-1,1968.6007000273094,48404.17739993427,1
Colin_Con1,Experimental_Descending_1,1-triangle,975.0588000752032,49480.08949996438,0
Colin_Con1,Experimental_Descending_1,triangle-A,1103.9690000470728,50677.72469995543,0
Colin_Con1,Experimental_Ascending_1,Start-triangle,3555.388900102116,3555.3993999492377,0
Colin_Con1,Experimental_Ascending_1,triangle-A,2574.4903000304475,6243.985299952328,0
Colin_Con1,Experimental_Ascending_1,A-1,1322.508899960667,7668.806799920276,0
Colin_Con1,Experimental_Ascending_1,1-square,1969.5869999704883,9738.897799979895,0
Colin_Con1,Experimental_Ascending_1,square-B,4959.748200024478,14811.994099989533,0
Colin_Con1,Experimental_Ascending_1,B-2,647.2212000517175,15584.166900021955,0
Colin_Con1,Experimental_Ascending_1,2-pentagon,5382.506199995987,21067.264099954627,0
Colin_Con1,Experimental_Ascending_1,pentagon-C,3614.403299987316,24798.11149998568,0
Colin_Con1,Experimental_Ascending_1,C-3,3694.0755000105128,28604.257999919355,0
Colin_Con1,Experimental_Ascending_1,3-hexagon,8142.176300054416,36880.3242999129,1
Colin_Con1,Experimental_Ascending_1,hexagon-D,4502.242699963972,41473.71990000829,0
Colin_Con1,Experimental_Ascending_1,D-4,1088.7824000092223,42684.19599998742,0
Colin_Con1,Experimental_Ascending_1,4-heptagon,4427.434500074014,47216.416899929754,1
Colin_Con1,Experimental_Ascending_1,heptagon-E,5772.2362000495195,53089.323699939996,0
Colin_Con1,Experimental_Ascending_1,E-5,2143.57509999536,55347.438699915074,1
Colin_Con1,Experimental_Ascending_1,5-octagon,1125.5593999521807,56586.75110002514,0
Colin_Con1,Experimental_Ascending_1,octagon-F,1289.1703000059351,57991.27270001918,0
Colin_Con1,Experimental_Ascending_1,F-6,604.6100999228656,58696.38019998092,0
Colin_Con1,Experimental_Descending_2,Start-octagon,4270.362799987197,4270.377999986522,0
Colin_Con1,Experimental_Descending_2,octagon-F,5069.468899979256,9461.256699985825,0
Colin_Con1,Experimental_Descending_2,F-6,1977.6758999796584,11563.077999977395,0
Colin_Con1,Experimental_Descending_2,6-heptagon,1869.59279992152,13553.408100036904,0
Colin_Con1,Experimental_Descending_2,heptagon-E,4399.8478999128565,18068.327500019222,0
Colin_Con1,Experimental_Descending_2,E-5,2595.6908999942243,20769.487400073558,0
Colin_Con1,Experimental_Descending_2,5-hexagon,2247.2241999348626,23128.23210004717,0
Colin_Con1,Experimental_Descending_2,hexagon-D,2324.7405999572948,25563.942900043912,0
Colin_Con1,Experimental_Descending_2,D-4,2000.8334999438375,27697.22610001918,0
Colin_Con1,Experimental_Descending_2,4-pentagon,2837.0567000238225,30647.91000005789,1
Colin_Con1,Experimental_Descending_2,pentagon-C,2298.0954999802634,33057.30109999422,0
Colin_Con1,Experimental_Descending_2,C-3,777.1769999526441,33950.100900023244,0
Colin_Con1,Experimental_Descending_2,3-square,1173.062900081277,35224.34529999737,0
Colin_Con1,Experimental_Descending_2,square-B,2252.2572999587283,37611.32480006199,0
Colin_Con1,Experimental_Descending_2,B-2,1314.5688000367954,39016.83249999769,0
Colin_Con1,Experimental_Descending_2,2-triangle,2226.1277999496087,41334.42800003104,2
Colin_Con1,Experimental_Descending_2,triangle-A,870.0281999772415,42320.67589997314,0
Colin_Con1,Experimental_Descending_2,A-1,490.12370000127703,42881.61499996204,0
Colin_Con1,Experimental_Ascending_2,Start-A,7510.25029993616,7510.261100018397,0
Colin_Con1,Experimental_Ascending_2,A-1,970.7131999311969,8580.646099988371,0
Colin_Con1,Experimental_Ascending_2,1-triangle,577.4295999435708,9267.264500027522,0
Colin_Con1,Experimental_Ascending_2,triangle-B,2966.9964000349864,12345.650300034322,0
Colin_Con1,Experimental_Ascending_2,B-2,882.4915000004694,13343.58590003103,0
Colin_Con1,Experimental_Ascending_2,2-square,1010.3898999514058,14456.859600031748,0
Colin_Con1,Experimental_Ascending_2,square-C,4708.932900102809,19257.8556999797,1
Colin_Con1,Experimental_Ascending_2,C-3,760.190499946475,20128.059200011194,0
Colin_Con1,Experimental_Ascending_2,3-pentagon,1770.8678001072258,21999.399699969217,0
Colin_Con1,Experimental_Ascending_2,pentagon-D,6141.921799979173,28256.06159993913,1
Colin_Con1,Experimental_Ascending_2,D-4,658.887599944137,29006.683600018732,0
Colin_Con1,Experimental_Ascending_2,4-hexagon,3410.507999942638,32507.9693000298,0
Colin_Con1,Experimental_Ascending_2,hexagon-E,3716.921800049022,36560.47180003952,0
Colin_Con1,Experimental_Ascending_2,E-5,1512.0453999843448,38174.79379998986,0
Colin_Con1,Experimental_Ascending_2,5-heptagon,2699.432000052184,40981.201000045985,0
Colin_Con1,Experimental_Ascending_2,heptagon-F,3966.1235000239685,45015.83319995552,2
Colin_Con1,Experimental_Ascending_2,F-6,1632.8142000129446,46738.05619997438,0
Colin_Con1,Experimental_Ascending_2,6-octagon,612.5038000755012,47428.30669996329,0
Colin_Con1,Experimental_Descending_3,Start-F,2823.414899990894,2823.426900082268,0
Colin_Con1,Experimental_Descending_3,F-6,4174.098499934189,7119.582500075921,0
Colin_Con1,Experimental_Descending_3,6-octagon,2662.7408999484032,9894.85720009543,0
Colin_Con1,Experimental_Descending_3,octagon-E,1807.3044000193477,11817.434600088745,1
Colin_Con1,Experimental_Descending_3,E-5,852.4872000562027,12759.172899997793,0
Colin_Con1,Experimental_Descending_3,5-heptagon,2572.8567000478506,15436.798100010492,0
Colin_Con1,Experimental_Descending_3,heptagon-D,3493.113200063817,19040.473700035363,0
Colin_Con1,Experimental_Descending_3,D-4,4190.088099916466,23354.901600047015,1
Colin_Con1,Experimental_Descending_3,4-hexagon,482.94889996759593,23952.07850006409,0
Colin_Con1,Experimental_Descending_3,hexagon-C,2215.658300090581,26268.22660001926,0
Colin_Con1,Experimental_Descending_3,C-3,6656.121599953622,33024.95930006262,1
Colin_Con1,Experimental_Descending_3,3-pentagon,557.3875999543816,33707.422200008295,0
Colin_Con1,Experimental_Descending_3,pentagon-B,5011.474899947643,38819.831300061196,0
Colin_Con1,Experimental_Descending_3,B-2,4385.062100016512,43316.70620001387,3
Colin_Con1,Experimental_Descending_3,2-square,566.4374000625685,43973.86000002734,0
Colin_Con1,Experimental_Descending_3,square-A,1110.5941999703646,45184.538900037296,0
Colin_Con1,Experimental_Descending_3,A-1,1651.0828000027686,46926.0144000873,0
Colin_Con1,Experimental_Descending_3,1-triangle,2242.763699963689,49257.35860003624,0
Colin_Con1,Experimental_Ascending_3,Start-1,1252.770600025542,1252.7813999913633,0
Colin_Con1,Experimental_Ascending_3,1-triangle,887.420600047335,2243.8960999716073,0
Colin_Con1,Experimental_Ascending_3,triangle-A,3145.110100042075,5503.793300013058,0
