Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Marco_Con1,Familiarization_Mixed_Desc,Start-6,8611.30560003221,8611.314399982803,0
Marco_Con1,Familiarization_Mixed_Desc,6-octagon,5382.364699966274,14161.198999965563,0
Marco_Con1,Familiarization_Mixed_Desc,octagon-F,5168.3029000414535,19450.880899908952,0
Marco_Con1,Familiarization_Mixed_Desc,F-5,4963.021400035359,24599.88449991215,0
Marco_Con1,Familiarization_Mixed_Desc,5-heptagon,2301.703399978578,26982.427699957043,0
Marco_Con1,Familiarization_Mixed_Desc,heptagon-E,2502.439600066282,29630.755099933594,0
Marco_Con1,Familiarization_Mixed_Desc,E-4,2890.4410999966785,32614.93109993171,0
Marco_Con1,Familiarization_Mixed_Desc,4-hexagon,1262.576699955389,34157.5474999845,0
Marco_Con1,Familiarization_Mixed_Desc,hexagon-D,2525.8028999669477,36842.18969999347,0
Marco_Con1,Familiarization_Mixed_Desc,D-3,2867.1777000417933,39924.6774999192,0
Marco_Con1,Familiarization_Mixed_Desc,3-pentagon,5836.760099977255,45981.625300017186,1
Marco_Con1,Familiarization_Mixed_Desc,pentagon-C,3124.708899995312,49228.95939997397,0
Marco_Con1,Familiarization_Mixed_Desc,C-2,1823.3237999957055,51200.423599919304,0
Marco_Con1,Familiarization_Mixed_Desc,2-square,1997.226700070314,53385.99969993811,0
Marco_Con1,Familiarization_Mixed_Desc,square-B,1369.6388999233022,54846.08469996601,0
Marco_Con1,Familiarization_Mixed_Desc,B-1,1593.6307000229135,56616.33779993281,0
Marco_Con1,Familiarization_Mixed_Desc,1-triangle,590.8811000408605,57297.32040001545,0
Marco_Con1,Familiarization_Mixed_Desc,triangle-A,700.5494000623003,58068.75689991284,0
Marco_Con1,Experimental_Ascending_1,Start-A,3896.8549000564963,3896.8688999302685,0
Marco_Con1,Experimental_Ascending_1,A-1,1680.5440000025555,5806.154599995352,0
Marco_Con1,Experimental_Ascending_1,1-triangle,2170.2209999784827,8192.104800022207,0
Marco_Con1,Experimental_Ascending_1,triangle-B,2588.9825000194833,10914.87540001981,0
Marco_Con1,Experimental_Ascending_1,B-2,23977.016199962236,35008.13289999496,1
Marco_Con1,Experimental_Ascending_1,2-square,1070.791499922052,36192.571499967016,0
Marco_Con1,Experimental_Ascending_1,square-C,1981.294900062494,38374.28629992064,0
Marco_Con1,Experimental_Ascending_1,C-3,3680.958400014788,42176.916699972935,0
Marco_Con1,Experimental_Ascending_1,3-pentagon,1579.507099930197,43866.495799971744,0
Marco_Con1,Experimental_Ascending_1,pentagon-D,3946.5146000729874,47993.90439991839,0
Marco_Con1,Experimental_Ascending_1,D-4,1760.5237000389025,49900.81499994267,0
Marco_Con1,Experimental_Ascending_1,4-hexagon,3303.0452000675723,53398.57919991482,0
Marco_Con1,Experimental_Ascending_1,hexagon-E,2743.6164000537246,56254.77429991588,0
Marco_Con1,Experimental_Ascending_1,E-5,1680.579400039278,58040.53200001363,0
Marco_Con1,Experimental_Ascending_1,5-heptagon,1231.0746000148356,59440.63379999716,0
Marco_Con1,Experimental_Ascending_1,heptagon-F,1796.252999920398,61375.45419996604,0
Marco_Con1,Experimental_Ascending_1,F-6,1357.1668999502435,62967.79699996114,0
Marco_Con1,Experimental_Ascending_1,6-octagon,572.6400000276044,63664.794599986635,0
Marco_Con1,Experimental_Descending_1,Start-octagon,12164.253999944776,12164.264100021683,0
Marco_Con1,Experimental_Descending_1,octagon-F,10660.737200058065,22966.3145999657,0
Marco_Con1,Experimental_Descending_1,F-6,3293.968499987386,26353.665299946442,0
Marco_Con1,Experimental_Descending_1,6-heptagon,4116.537700057961,30585.208200034685,0
Marco_Con1,Experimental_Descending_1,heptagon-E,3068.611800088547,33734.232699964195,0
Marco_Con1,Experimental_Descending_1,E-5,3688.7826999882236,37534.055099938996,0
Marco_Con1,Experimental_Descending_1,5-hexagon,6106.833700090647,43757.30209995527,0
Marco_Con1,Experimental_Descending_1,hexagon-D,12504.477499984205,56494.24439994618,1
Marco_Con1,Experimental_Descending_1,D-4,579.3563999468461,57166.707500000484,0
Marco_Con1,Experimental_Descending_1,4-pentagon,2825.549600063823,60073.6691999482,0
Marco_Con1,Experimental_Descending_1,pentagon-C,18068.56709998101,78331.00290002767,0
Marco_Con1,Experimental_Descending_1,C-3,11649.005500017665,90074.12879995536,2
Marco_Con1,Experimental_Descending_1,3-square,900.5889999680221,91074.65800002683,0
Marco_Con1,Experimental_Descending_1,square-B,3182.692800066434,94337.50849997159,0
Marco_Con1,Experimental_Descending_1,B-2,727.9269000282511,95135.88119996712,0
Marco_Con1,Experimental_Descending_1,2-triangle,2223.31769997254,97514.60110000335,1
Marco_Con1,Experimental_Descending_1,triangle-A,963.4607000043616,98584.59919993766,0
Marco_Con1,Experimental_Descending_1,A-1,550.3080999478698,99213.61620002426,0
Marco_Con1,Experimental_Ascending_2,Start-1,2362.4119999585673,2362.4238000484183,0
Marco_Con1,Experimental_Ascending_2,1-triangle,1843.270399956964,4438.051300006919,0
Marco_Con1,Experimental_Ascending_2,triangle-A,2841.090300003998,7380.998400039971,0
Marco_Con1,Experimental_Ascending_2,A-2,2745.4335000365973,10375.684799975716,0
Marco_Con1,Experimental_Ascending_2,2-square,1421.1960999527946,11910.615500062704,0
Marco_Con1,Experimental_Ascending_2,square-B,1703.847000026144,13739.509299979545,0
