Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Ryan_Con1,Familiarization_Numbers_Asc,Start-1,28355.239899945445,28355.25120003149,0
Ryan_Con1,Familiarization_Numbers_Asc,1-2,827.3425000952557,29292.278800043277,0
Ryan_Con1,Familiarization_Numbers_Asc,2-3,1285.9923000214621,30676.987100043334,0
Ryan_Con1,Familiarization_Numbers_Asc,3-4,1107.1241999743506,31875.87570003234,0
Ryan_Con1,Familiarization_Numbers_Asc,4-5,2294.398199999705,34255.99770003464,0
Ryan_Con1,Familiarization_Numbers_Asc,5-6,767.7967000054196,35155.310600064695,0
Ryan_Con1,Familiarization_Numbers_Desc,Start-6,2821.5509000001475,2821.5627999743447,0
Ryan_Con1,Familiarization_Numbers_Desc,6-5,1074.199500028044,4083.1449000397697,0
Ryan_Con1,Familiarization_Numbers_Desc,5-4,1413.6306999716908,5642.597800004296,0
Ryan_Con1,Familiarization_Numbers_Desc,4-3,794.7462999727577,6538.567899959162,0
Ryan_Con1,Familiarization_Numbers_Desc,3-2,727.3958999430761,7437.427400029264,0
Ryan_Con1,Familiarization_Numbers_Desc,2-1,888.2334999507293,8439.72050002776,0
Ryan_Con1,Familiarization_Letters_Asc,Start-A,2612.7092000097036,2612.7235000021756,0
Ryan_Con1,Familiarization_Letters_Asc,A-B,707.5925000244752,3505.364500102587,0
Ryan_Con1,Familiarization_Letters_Asc,B-C,2046.895100036636,5675.044700037688,0
Ryan_Con1,Familiarization_Letters_Asc,C-D,1178.6504000192508,6988.990800105967,0
Ryan_Con1,Familiarization_Letters_Asc,D-E,827.559299999848,7951.95620006416,0
Ryan_Con1,Familiarization_Letters_Asc,E-F,971.1990999057889,9011.752500082366,0
Ryan_Con1,Familiarization_Letters_Desc,Start-F,1855.8137998916209,1855.8260999852791,0
Ryan_Con1,Familiarization_Letters_Desc,F-E,1400.6825999822468,3389.4863999448717,0
Ryan_Con1,Familiarization_Letters_Desc,E-D,1130.6244001025334,4674.103999976069,0
Ryan_Con1,Familiarization_Letters_Desc,D-C,1135.0011999020353,5941.947899991646,0
Ryan_Con1,Familiarization_Letters_Desc,C-B,1543.2310999603942,7596.293499926105,0
Ryan_Con1,Familiarization_Letters_Desc,B-A,1104.8673000186682,8826.091900002211,0
Ryan_Con1,Familiarization_Shapes_Asc,Start-triangle,1703.3150000497699,1703.3292999258265,0
Ryan_Con1,Familiarization_Shapes_Asc,triangle-square,942.5970999291167,2768.50739994552,0
Ryan_Con1,Familiarization_Shapes_Asc,square-pentagon,2591.1389000248164,5491.816999972798,0
Ryan_Con1,Familiarization_Shapes_Asc,pentagon-hexagon,1432.5510000344366,7081.644099904224,0
Ryan_Con1,Familiarization_Shapes_Asc,hexagon-heptagon,1324.4826000882313,8547.461499925703,0
Ryan_Con1,Familiarization_Shapes_Asc,heptagon-octagon,1300.553199951537,9961.152200005017,0
Ryan_Con1,Familiarization_Shapes_Desc,Start-octagon,1425.8576999418437,1425.8701000362635,0
Ryan_Con1,Familiarization_Shapes_Desc,octagon-heptagon,1125.064400024712,2670.982899959199,0
Ryan_Con1,Familiarization_Shapes_Desc,heptagon-hexagon,927.1361998980865,3764.570700004697,0
Ryan_Con1,Familiarization_Shapes_Desc,hexagon-pentagon,1730.2319000009447,5615.696299937554,0
Ryan_Con1,Familiarization_Shapes_Desc,pentagon-square,814.7157999919727,6542.876499937847,0
Ryan_Con1,Familiarization_Shapes_Desc,square-triangle,632.9925000900403,7328.259999980219,0
Ryan_Con1,Familiarization_Mixed_Asc,Start-1,6416.3779999362305,6416.395300067961,0
Ryan_Con1,Familiarization_Mixed_Asc,1-triangle,1612.9184000892565,8166.0948999924585,0
Ryan_Con1,Familiarization_Mixed_Asc,triangle-A,5350.0119999516755,13662.683399976231,0
Ryan_Con1,Familiarization_Mixed_Asc,A-2,4519.962899968959,18296.496900031343,0
Ryan_Con1,Familiarization_Mixed_Asc,2-square,3854.098799987696,22294.786900049075,0
Ryan_Con1,Familiarization_Mixed_Asc,square-B,5224.202699959278,27653.927800012752,0
Ryan_Con1,Familiarization_Mixed_Asc,B-3,3916.5751000400633,31716.535400017165,0
Ryan_Con1,Familiarization_Mixed_Asc,3-pentagon,4508.0326000461355,36368.57240006793,0
Ryan_Con1,Familiarization_Mixed_Asc,pentagon-C,7421.8142000027,43926.377800060436,1
Ryan_Con1,Familiarization_Mixed_Asc,C-4,1990.2105999644846,46047.38720005844,0
