Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Tom_Con1,Familiarization_Mixed_Asc,Start-1,5183.730100048706,5183.742000022903,0
Tom_Con1,Familiarization_Mixed_Asc,1-triangle,1883.8737999321893,7145.942399976775,0
Tom_Con1,Familiarization_Mixed_Asc,triangle-A,2025.186000042595,9347.73340006359,0
Tom_Con1,Familiarization_Mixed_Asc,A-2,1800.0745000317693,11285.096400068142,0
Tom_Con1,Familiarization_Mixed_Asc,2-square,1973.1127000413835,13362.841800088063,0
Tom_Con1,Familiarization_Mixed_Asc,square-B,2339.325900073163,15781.496900017373,0
Tom_Con1,Familiarization_Mixed_Asc,B-3,1949.0502000553533,17853.795500006527,0
Tom_Con1,Familiarization_Mixed_Asc,3-pentagon,3841.4906000252813,21784.240500070155,0
Tom_Con1,Familiarization_Mixed_Asc,pentagon-C,3126.1726999655366,25016.075500054285,0
Tom_Con1,Familiarization_Mixed_Asc,C-4,3571.362999966368,28679.60180004593,0
Tom_Con1,Familiarization_Mixed_Asc,4-hexagon,2635.442500002682,31553.201399976388,1
Tom_Con1,Familiarization_Mixed_Asc,hexagon-D,4688.184300088324,36353.79429999739,0
Tom_Con1,Familiarization_Mixed_Asc,D-5,3271.025799913332,39806.46690004505,0
Tom_Con1,Familiarization_Mixed_Asc,5-heptagon,655.1501000067219,40575.851600035094,0
Tom_Con1,Familiarization_Mixed_Asc,heptagon-E,3394.8158998973668,44082.59190001991,0
Tom_Con1,Familiarization_Mixed_Asc,E-6,1522.7362998994067,45687.47390003409,0
Tom_Con1,Familiarization_Mixed_Asc,6-octagon,983.2242999691516,46812.8647999838,0
Tom_Con1,Familiarization_Mixed_Asc,octagon-F,514.3276000162587,47474.50770006981,0
Tom_Con1,Experimental_Ascending_1,Start-1,2268.357999972068,2268.369499943219,0
Tom_Con1,Experimental_Ascending_1,1-triangle,2514.5385999931023,4881.139199947938,0
Tom_Con1,Experimental_Ascending_1,triangle-A,1165.0513999629766,6148.607000010088,0
Tom_Con1,Experimental_Ascending_1,A-2,1785.9787000343204,8079.877799958922,0
Tom_Con1,Experimental_Ascending_1,2-square,826.4155000215396,9076.97139994707,0
Tom_Con1,Experimental_Ascending_1,square-B,1005.2338000386953,10194.769300054759,0
Tom_Con1,Experimental_Ascending_1,B-3,1164.4748999970034,11484.236899996176,0
Tom_Con1,Experimental_Ascending_1,3-pentagon,2122.4863999523222,13712.258400046267,0
Tom_Con1,Experimental_Ascending_1,pentagon-C,1091.8025999562815,14926.52520001866,0
Tom_Con1,Experimental_Ascending_1,C-4,951.0691000614315,15990.515199955553,0
Tom_Con1,Experimental_Ascending_1,4-hexagon,3857.91290004272,19951.360899955034,0
Tom_Con1,Experimental_Ascending_1,hexagon-D,1758.4787999512628,21902.567900018767,0
Tom_Con1,Experimental_Ascending_1,D-5,5244.517600047402,27286.641499958932,0
Tom_Con1,Experimental_Ascending_1,5-heptagon,2389.204500010237,29794.26280001644,0
Tom_Con1,Experimental_Ascending_1,heptagon-E,5680.342299980111,35588.51499995217,0
Tom_Con1,Experimental_Ascending_1,E-6,2336.5521000232548,38039.17739994358,0
Tom_Con1,Experimental_Ascending_1,6-octagon,1045.646799961105,39206.172100035474,0
Tom_Con1,Experimental_Ascending_1,octagon-F,649.4383999379352,39978.569700033404,0
Tom_Con1,Experimental_Descending_1,Start-octagon,2295.9483000449836,2295.9588998928666,0
Tom_Con1,Experimental_Descending_1,octagon-F,8234.567500068806,10689.720599912107,0
Tom_Con1,Experimental_Descending_1,F-6,2075.515100033954,12865.34259992186,0
Tom_Con1,Experimental_Descending_1,6-heptagon,3147.499799961224,16135.869499994442,0
Tom_Con1,Experimental_Descending_1,heptagon-E,5124.447599984705,21417.955599958077,0
Tom_Con1,Experimental_Descending_1,E-5,2138.0814999574795,23732.52529988531,0
Tom_Con1,Experimental_Descending_1,5-hexagon,6457.668400020339,30323.37109989021,0
Tom_Con1,Experimental_Descending_1,hexagon-D,3461.1371000064537,33894.80629994068,0
Tom_Con1,Experimental_Descending_1,D-4,5758.311000070535,39745.87499990594,0
Tom_Con1,Experimental_Descending_1,4-pentagon,4168.935399968177,43999.44099993445,0
Tom_Con1,Experimental_Descending_1,pentagon-C,4088.6730999918655,48220.792899955995,0
Tom_Con1,Experimental_Descending_1,C-3,1763.4760000510141,50146.43649989739,0
Tom_Con1,Experimental_Descending_1,3-square,3979.459800058976,54258.96289991215,0
Tom_Con1,Experimental_Descending_1,square-B,1799.782000016421,56187.160999979824,0
Tom_Con1,Experimental_Descending_1,B-2,774.0601000841707,57073.81999993231,0
Tom_Con1,Experimental_Descending_1,2-triangle,1566.2871999666095,58764.034699997865,0
Tom_Con1,Experimental_Descending_1,triangle-A,1135.192400077358,60022.27839990519,0
Tom_Con1,Experimental_Descending_1,A-1,454.42850003018975,60653.929699910805,0
Tom_Con1,Experimental_Ascending_2,Start-A,916.821000049822,916.8323000194505,0
Tom_Con1,Experimental_Ascending_2,A-1,687.551400042139,1705.7164999423549,0
Tom_Con1,Experimental_Ascending_2,1-triangle,1023.1567999580875,2854.862399981357,0
Tom_Con1,Experimental_Ascending_2,triangle-B,2506.2509000999853,5471.66279994417,0
Tom_Con1,Experimental_Ascending_2,B-2,16487.926400033757,22072.991600027308,0
Tom_Con1,Experimental_Ascending_2,2-square,7480.913999956101,29733.682699967176,0
Tom_Con1,Experimental_Ascending_2,square-C,5344.9985999614,35199.501600000076,0
Tom_Con1,Experimental_Ascending_2,C-3,2207.37449999433,37553.37310000323,0
Tom_Con1,Experimental_Ascending_2,3-pentagon,4733.970599947497,42411.30849998444,0
Tom_Con1,Experimental_Ascending_2,pentagon-D,2917.8238000022247,45431.819499935955,0
Tom_Con1,Experimental_Ascending_2,D-4,2750.4705000901595,48274.929599952884,0
Tom_Con1,Experimental_Ascending_2,4-hexagon,628.322200034745,49026.2835000176,0
Tom_Con1,Experimental_Ascending_2,hexagon-E,7675.467900000513,56803.848600015044,0
Tom_Con1,Experimental_Ascending_2,E-5,4602.250099997036,61519.082900020294,0
Tom_Con1,Experimental_Ascending_2,5-heptagon,2551.115900045261,64170.38439994212,0
Tom_Con1,Experimental_Ascending_2,heptagon-F,1976.3528000330552,66283.87049993034,0
Tom_Con1,Experimental_Ascending_2,F-6,796.1506999563426,67184.56199998036,0
Tom_Con1,Experimental_Ascending_2,6-octagon,757.0864999433979,68042.21500002313,0
Tom_Con1,Experimental_Descending_2,Start-6,1620.2853000722826,1620.295999920927,0
Tom_Con1,Experimental_Descending_2,6-octagon,1091.5534000378102,2853.308199904859,0
Tom_Con1,Experimental_Descending_2,octagon-F,1527.832500054501,4485.4931000154465,0
Tom_Con1,Experimental_Descending_2,F-5,4122.327700024471,8698.843899997883,0
Tom_Con1,Experimental_Descending_2,5-heptagon,2175.71819992736,11050.814699963666,0
Tom_Con1,Experimental_Descending_2,heptagon-E,2675.158900092356,13868.234799942002,0
Tom_Con1,Experimental_Descending_2,E-4,9752.29400000535,23784.33379996568,1
Tom_Con1,Experimental_Descending_2,4-hexagon,1327.5361999403685,25224.386799964122,0
Tom_Con1,Experimental_Descending_2,hexagon-D,10716.53370000422,36051.5075000003,0
Tom_Con1,Experimental_Descending_2,D-3,4232.278800103813,40394.91399994586,0
Tom_Con1,Experimental_Descending_2,3-pentagon,2421.076099970378,42969.926699995995,0
Tom_Con1,Experimental_Descending_2,pentagon-C,5471.8753000488505,48535.35409993492,0
Tom_Con1,Experimental_Descending_2,C-2,3581.756000057794,52226.872699917294,0
Tom_Con1,Experimental_Descending_2,2-square,1884.941600030288,54227.12960001081,0
Tom_Con1,Experimental_Descending_2,square-B,1658.5113001056015,55998.20499995258,0
Tom_Con1,Experimental_Descending_2,B-1,1290.3552999487147,57410.83830001298,0
Tom_Con1,Experimental_Descending_2,1-triangle,828.0015999916941,58342.073099920526,0
Tom_Con1,Experimental_Descending_2,triangle-A,545.8079999079928,59045.98629998509,0
Tom_Con1,Experimental_Ascending_3,Start-triangle,1360.9261000528932,1360.937099903822,0
Tom_Con1,Experimental_Ascending_3,triangle-A,832.1212000446394,2365.6673999503255,0
Tom_Con1,Experimental_Ascending_3,A-1,1199.3422000668943,3692.138399928808,0
Tom_Con1,Experimental_Ascending_3,1-square,3299.5996000245214,7116.0875000059605,0
Tom_Con1,Experimental_Ascending_3,square-B,571.7339999973774,7827.563499915414,0
Tom_Con1,Experimental_Ascending_3,B-2,580.3863001056015,8553.686199942604,0
Tom_Con1,Experimental_Ascending_3,2-pentagon,2478.5948999924585,11127.925499924459,0
Tom_Con1,Experimental_Ascending_3,pentagon-C,1123.9677999401465,12385.175099945627,0
Tom_Con1,Experimental_Ascending_3,C-3,1090.813299990259,13578.681499930099,0
Tom_Con1,Experimental_Ascending_3,3-hexagon,13452.519400045276,27122.375699924305,1
Tom_Con1,Experimental_Ascending_3,hexagon-D,771.6726999497041,28039.480099920183,0
Tom_Con1,Experimental_Ascending_3,D-4,3983.940500067547,32134.266799897887,0
Tom_Con1,Experimental_Ascending_3,4-heptagon,4078.9132999489084,36344.31469999254,0
Tom_Con1,Experimental_Ascending_3,heptagon-E,1953.688699984923,38433.72199998703,0
Tom_Con1,Experimental_Ascending_3,E-5,1253.5934000043198,39789.91609998047,0
Tom_Con1,Experimental_Ascending_3,5-octagon,770.9202000405639,40639.70790000167,0
Tom_Con1,Experimental_Ascending_3,octagon-F,1111.0851999837905,41862.35479998868,0
Tom_Con1,Experimental_Ascending_3,F-6,716.0509000532329,42682.47249990236,0
Tom_Con1,Experimental_Descending_3,Start-F,2254.910900024697,2254.923600004986,0
Tom_Con1,Experimental_Descending_3,F-6,1887.4269999796525,4265.568900038488,0
Tom_Con1,Experimental_Descending_3,6-octagon,616.3008000003174,4998.3573000645265,0
Tom_Con1,Experimental_Descending_3,octagon-E,5979.588199988939,11057.58510006126,0
Tom_Con1,Experimental_Descending_3,E-5,1121.1028998950496,12319.292200030759,0
Tom_Con1,Experimental_Descending_3,5-heptagon,3616.8701000278816,16059.361300081946,0
Tom_Con1,Experimental_Descending_3,heptagon-D,2226.4084999915212,18422.037900076248,0
Tom_Con1,Experimental_Descending_3,D-4,1269.0093000419438,19839.942099992186,0
Tom_Con1,Experimental_Descending_3,4-hexagon,2838.3609000593424,22792.18029999174,0
Tom_Con1,Experimental_Descending_3,hexagon-C,2914.270600071177,25848.063900019042,0
Tom_Con1,Experimental_Descending_3,C-3,2423.9053999772295,28433.095899992622,0
Tom_Con1,Experimental_Descending_3,3-pentagon,1794.9801000067964,30353.289199993014,0
Tom_Con1,Experimental_Descending_3,pentagon-B,4524.827099987306,35016.25230000354,0
