Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Vinh_Con1,Familiarization_Numbers_Asc,Start-1,13114.080099971034,13114.097399986349,0
Vinh_Con1,Familiarization_Numbers_Asc,1-2,3990.9245000453666,17219.05049995985,1
Vinh_Con1,Familiarization_Numbers_Asc,2-3,1805.4173999698833,19163.208499900065,0
Vinh_Con1,Familiarization_Numbers_Asc,3-4,1421.0461999755353,20707.92449999135,0
Vinh_Con1,Familiarization_Numbers_Asc,4-5,749.6371999150142,21551.242299959995,0
Vinh_Con1,Familiarization_Numbers_Asc,5-6,633.6593000451103,22276.428199955262,0
Vinh_Con1,Familiarization_Numbers_Desc,Start-6,4062.48099997174,4062.494400073774,0
Vinh_Con1,Familiarization_Numbers_Desc,6-5,705.1178000401706,4877.984400023706,0
Vinh_Con1,Familiarization_Numbers_Desc,5-4,560.5139000108466,5576.49600005243,0
Vinh_Con1,Familiarization_Numbers_Desc,4-3,801.5026000794023,6490.375800058246,0
Vinh_Con1,Familiarization_Numbers_Desc,3-2,723.2607000041753,7302.627400029451,0
Vinh_Con1,Familiarization_Numbers_Desc,2-1,878.6560000153258,8270.877600065432,0
Vinh_Con1,Familiarization_Letters_Asc,Start-A,2414.2880999716,2414.302400080487,0
Vinh_Con1,Familiarization_Letters_Asc,A-B,850.5610999418423,3344.4781000725925,0
Vinh_Con1,Familiarization_Letters_Asc,B-C,1664.925800054334,5099.739699973725,0
Vinh_Con1,Familiarization_Letters_Asc,C-D,1509.581599966623,6719.611500040628,0
Vinh_Con1,Familiarization_Letters_Asc,D-E,649.3490999564528,7460.354799986817,0
Vinh_Con1,Familiarization_Letters_Asc,E-F,1016.9481999473646,8591.561899986118,0
Vinh_Con1,Familiarization_Letters_Desc,Start-F,2599.766199942678,2599.781700060703,0
Vinh_Con1,Familiarization_Letters_Desc,F-E,4826.406099949963,7537.929899990559,0
Vinh_Con1,Familiarization_Letters_Desc,E-D,1794.5297999540344,9403.873400064185,0
Vinh_Con1,Familiarization_Letters_Desc,D-C,1541.8779000174254,11055.145499994978,0
Vinh_Con1,Familiarization_Letters_Desc,C-B,1312.2129999101162,12478.128400049172,0
Vinh_Con1,Familiarization_Letters_Desc,B-A,708.8764000218362,13278.473300044425,0
Vinh_Con1,Familiarization_Shapes_Asc,Start-triangle,132790.51910003182,132790.5332999071,1
Vinh_Con1,Familiarization_Shapes_Asc,triangle-square,2950.4846000345424,135896.2188999867,0
Vinh_Con1,Familiarization_Shapes_Asc,square-pentagon,1530.5730999680236,137537.5953000039,0
Vinh_Con1,Familiarization_Shapes_Asc,pentagon-hexagon,756.8698999239132,138396.49409998674,0
Vinh_Con1,Familiarization_Shapes_Asc,hexagon-heptagon,1035.7526999432594,139534.17339990847,0
Vinh_Con1,Familiarization_Shapes_Asc,heptagon-octagon,704.9344000406563,140351.21819993947,0
Vinh_Con1,Familiarization_Shapes_Desc,Start-octagon,3271.1408000905067,3271.154099958949,0
Vinh_Con1,Familiarization_Shapes_Desc,octagon-heptagon,1800.2722000237554,5161.972499918193,0
Vinh_Con1,Familiarization_Shapes_Desc,heptagon-hexagon,1718.7639999901876,6997.37739993725,0
Vinh_Con1,Familiarization_Shapes_Desc,hexagon-pentagon,2160.790599999018,9295.2532999916,0
Vinh_Con1,Familiarization_Shapes_Desc,pentagon-square,2011.6404000436887,11399.577599950135,0
Vinh_Con1,Familiarization_Shapes_Desc,square-triangle,927.0035999361426,12406.71020001173,0
Vinh_Con1,Familiarization_Mixed_Asc,Start-1,78402.27189997677,78402.28339994792,0
Vinh_Con1,Familiarization_Mixed_Asc,1-triangle,16398.76639994327,94890.76830004342,5
Vinh_Con1,Familiarization_Mixed_Asc,triangle-A,55710.09369997773,150735.12650001794,6
Vinh_Con1,Familiarization_Mixed_Asc,A-2,37926.88889999408,188824.96740005445,0
Vinh_Con1,Familiarization_Mixed_Asc,2-square,4188.942699925974,193127.58410000242,0
Vinh_Con1,Familiarization_Mixed_Asc,square-B,3257.363999960944,196520.70480003022,0
Vinh_Con1,Familiarization_Mixed_Asc,B-3,3309.4920999137685,199934.22649998683,0
Vinh_Con1,Familiarization_Mixed_Asc,3-pentagon,2427.448599948548,202486.36740003712,0
Vinh_Con1,Familiarization_Mixed_Asc,pentagon-C,4793.002500082366,207502.04379996285,0
Vinh_Con1,Familiarization_Mixed_Asc,C-4,6150.5345000186935,213742.45100002736,0
Vinh_Con1,Familiarization_Mixed_Asc,4-hexagon,4969.418699969538,218834.8529000068,0
Vinh_Con1,Familiarization_Mixed_Asc,hexagon-D,4591.1722999298945,223462.34770002775,0
Vinh_Con1,Familiarization_Mixed_Asc,D-5,6642.907300032675,230207.1864999598,0
Vinh_Con1,Familiarization_Mixed_Asc,5-heptagon,22400.7782000117,252854.38799997792,0
Vinh_Con1,Familiarization_Mixed_Asc,heptagon-E,11609.300800017081,264599.0538999904,0
Vinh_Con1,Familiarization_Mixed_Asc,E-6,3145.7383999368176,268053.80560003687,0
Vinh_Con1,Familiarization_Mixed_Asc,6-octagon,1077.251199982129,269387.25909998175,1
Vinh_Con1,Familiarization_Mixed_Asc,octagon-F,898.1493999017403,270373.57840000186,0
Vinh_Con1,Familiarization_Mixed_Desc,Start-6,16303.589900024235,16303.600499988534,0
Vinh_Con1,Familiarization_Mixed_Desc,6-octagon,2231.795600033365,18668.760400032625,0
Vinh_Con1,Familiarization_Mixed_Desc,octagon-F,5292.680499958806,24159.27860001102,0
Vinh_Con1,Familiarization_Mixed_Desc,F-5,5775.536400033161,30050.361100002192,0
Vinh_Con1,Familiarization_Mixed_Desc,5-heptagon,6751.167200040072,36915.65769992303,0
Vinh_Con1,Familiarization_Mixed_Desc,heptagon-E,7305.113199981861,44388.01500003319,0
Vinh_Con1,Familiarization_Mixed_Desc,E-4,9755.236699944362,54280.22449999116,0
Vinh_Con1,Familiarization_Mixed_Desc,4-hexagon,6264.115799916908,60877.09590001032,0
Vinh_Con1,Familiarization_Mixed_Desc,hexagon-D,5318.2982000289485,66339.07520002685,0
Vinh_Con1,Familiarization_Mixed_Desc,D-3,10543.608400039375,77045.17449997365,0
Vinh_Con1,Familiarization_Mixed_Desc,3-pentagon,5633.514299988747,82813.18860000465,0
Vinh_Con1,Familiarization_Mixed_Desc,pentagon-C,6390.568200033158,89371.08880002052,0
Vinh_Con1,Familiarization_Mixed_Desc,C-2,2609.4470999669284,92068.33889998961,0
Vinh_Con1,Familiarization_Mixed_Desc,2-square,2468.7720000511035,94795.18639994785,0
Vinh_Con1,Familiarization_Mixed_Desc,square-B,1891.962300054729,97103.50660001859,0
Vinh_Con1,Familiarization_Mixed_Desc,B-1,1293.4507000027224,98476.95759998169,0
Vinh_Con1,Familiarization_Mixed_Desc,1-triangle,1732.305800076574,100319.87589993514,0
Vinh_Con1,Familiarization_Mixed_Desc,triangle-A,1143.6790999723598,101520.14019992203,0
Vinh_Con1,Experimental_Ascending_1,Start-triangle,32016.652000020258,32016.663700109348,0
Vinh_Con1,Experimental_Ascending_1,triangle-A,4517.518400098197,36709.52040003613,0
Vinh_Con1,Experimental_Ascending_1,A-1,3747.6277999812737,40538.26729999855,0
Vinh_Con1,Experimental_Ascending_1,1-square,4144.894400029443,44785.08300008252,0
Vinh_Con1,Experimental_Ascending_1,square-B,4739.600299973972,49671.26240010839,0
